Food Vendor,Type,Food tags,Price,Menu,Recommended,Recommended Item(s)
Strawberry Fields,Drinks,"Smoothies, Acai Bowls, Preztels, Hot Dogs, Lemonade",,http://www.strawberryfieldsinc.com/menu-2.html,,
Taco Girl,Mexican,"Tacos, Nachos, Chips, Street Corn",$$,https://www.chaoticconcessions.com/bios-menus,,
The Beet Box,Drinks,"Fruit Juice, Smoothies, Smoothie Bowls",$$,https://beetboxrva.com/menus/,,
The Benevolent Burrito,N/A,N/A,N/A,N/A,N/A,N/A
The Big Cheese,American,Grilled Cheese,,https://www.facebook.com/photo/?fbid=824834012983548&set=ecnf.100063708693733,,
The Inka Trailer,Latin American,"Sandwiches, Ceviches, Chicken, Rice, Fries, Tacos",$$,https://theinkatn.com/menu-1,,
The Loving Cup Twisted Diner,N/A,N/A,N/A,N/A,N/A,N/A
The Wandering Mug,Drinks,"Coffee, Esspresso",,https://thewanderingmug.com/menu/,,
Tica's Tacos,Mexican,"Tacos, Burritos, Nachos, Lemonade, Pizza",,https://www.ticastacos.com/2022-tour.html#/,,
Ticas's Brunch Bar,Breakfast,"Tacos, Burritos, Quesadillas",,https://www.ticastacos.com/breakfast.html#/,,
Ugadi Indian Grill,Indian,"Naan, Kababs, Chicken, Masala, ",,,,
Wicked Maine Lobster,American,"Lobster Rolls, Mac & Cheese, Tacos, Sandwiches, Fish & Chips",,https://wickedmainelobster.com/menu,,
Wookie Dogs,American Fusion,"Korean Corn Dogs, Fruit Drinks",$,https://www.facebook.com/EatWookieDogs/,*,"Hibiscus Cooler, Any Korean Corndog"
